-0.00952667	-0.006434054	-0.007511988
-0.01027405	-0.00691722	-0.007798591
-0.01098719	-0.007379867	-0.008071784
-0.01166687	-0.007822497	-0.008331937
-0.0123139	-0.008245607	-0.008579422
-0.01292905	-0.008649697	-0.008814608
-0.01351312	-0.009035265	-0.009037867
-0.01406689	-0.009402813	-0.009249571
-0.01459117	-0.009752837	-0.009450088
-0.01508672	-0.01008584	-0.009639792
-0.01555436	-0.01040231	-0.009819051
-0.01599486	-0.01070277	-0.009988238
-0.01640902	-0.01098769	-0.01014772
-0.01679763	-0.01125759	-0.01029788
-0.01716147	-0.01151296	-0.01043907
-0.01750133	-0.0117543	-0.01057167
-0.01781801	-0.01198211	-0.01069606
-0.0181123	-0.0121969	-0.0108126
-0.01838498	-0.01239915	-0.01092166
-0.01863685	-0.01258937	-0.01102361
-0.01886869	-0.01276805	-0.01111883
-0.01908129	-0.01293571	-0.01120768
-0.01927545	-0.01309283	-0.01129055
-0.01945195	-0.01323991	-0.01136778
-0.01961159	-0.01337746	-0.01143977
-0.01975515	-0.01350597	-0.01150687
-0.01988342	-0.01362594	-0.01156947
-0.01999719	-0.01373787	-0.01162793
-0.02009726	-0.01384227	-0.01168261
-0.02018441	-0.01393962	-0.0117339
-0.02025943	-0.01403043	-0.01178216
-0.02032311	-0.0141152	-0.01182777
-0.02037625	-0.01419443	-0.01187109
-0.02041963	-0.01426862	-0.0119125
-0.02045404	-0.01433826	-0.01195236
-0.02048027	-0.01440385	-0.01199105
-0.02049911	-0.0144659	-0.01202894
-0.02051135	-0.0145249	-0.01206639
-0.02051778	-0.01458135	-0.01210379
-0.02035146	-0.01452244	-0.01200673
-0.02028788	-0.01453911	-0.01196532
-0.02026083	-0.01457451	-0.0119803
-0.02027314	-0.01463236	-0.01205394
-0.02030004	-0.0147144	-0.0121173
-0.02034005	-0.01480768	-0.01220605
-0.02039151	-0.01491178	-0.01230855
-0.0204523	-0.01502168	-0.0124218
-0.02051983	-0.01513574	-0.01253633
-0.02059105	-0.01525236	-0.01265592
-0.02066655	-0.01537173	-0.01277839
-0.02074669	-0.01549382	-0.01290333
-0.02082768	-0.01561467	-0.01303035
-0.02090965	-0.01573606	-0.01315695
-0.02099063	-0.01585972	-0.01328271
-0.02107256	-0.01598354	-0.01340924
-0.02115555	-0.01610535	-0.01353608
