-0.004645886	-0.004439042	-0.01097622	-0.007082005	-0.002546183	-0.004091076
-0.005263135	-0.004912967	-0.01118899	-0.007372137	-0.002931592	-0.004379702
-0.005855125	-0.005364762	-0.01138543	-0.00765003	-0.003303734	-0.004656636
-0.006422398	-0.005794963	-0.01156604	-0.007915991	-0.003662882	-0.004922165
-0.006965497	-0.006204104	-0.01173128	-0.008170328	-0.004009307	-0.00517658
-0.007484963	-0.00659272	-0.01188165	-0.008413348	-0.004343283	-0.00542017
-0.007981339	-0.006961345	-0.01201763	-0.008645359	-0.004665083	-0.005653226
-0.008455167	-0.007310513	-0.01213971	-0.008866666	-0.004974979	-0.005876036
-0.008906989	-0.00764076	-0.01224835	-0.00907758	-0.005273245	-0.00608889
-0.009337347	-0.00795262	-0.01234406	-0.009278406	-0.005560152	-0.006292077
-0.009746784	-0.008246628	-0.0124273	-0.009469451	-0.005835975	-0.006485887
-0.01013584	-0.008523318	-0.01249857	-0.009651023	-0.006100984	-0.00667061
-0.01050506	-0.008783224	-0.01255835	-0.009823429	-0.006355455	-0.006846536
-0.01085499	-0.009026881	-0.01260712	-0.009986979	-0.006599658	-0.007013952
-0.01118616	-0.009254825	-0.01264536	-0.01014198	-0.006833867	-0.00717315
-0.01149912	-0.00946759	-0.01267356	-0.01028873	-0.007058356	-0.007324419
-0.01179441	-0.009665708	-0.01269219	-0.01042755	-0.007273395	-0.007468048
-0.01207258	-0.009849717	-0.01270175	-0.01055874	-0.007479258	-0.007604327
-0.01233416	-0.01002015	-0.01270272	-0.01068261	-0.00767622	-0.007733545
-0.0125797	-0.01017754	-0.01269557	-0.01079947	-0.00786455	-0.007855993
-0.01280974	-0.01032243	-0.0126808	-0.01090961	-0.008044523	-0.007971958
-0.01302482	-0.01045534	-0.01265888	-0.01101336	-0.008216412	-0.008081732
-0.01322548	-0.01057681	-0.0126303	-0.01111102	-0.008380489	-0.008185604
-0.01341227	-0.01068739	-0.01259554	-0.01120289	-0.008537027	-0.008283862
-0.01358573	-0.01078759	-0.01255508	-0.01128929	-0.008686299	-0.008376797
-0.01374641	-0.01087796	-0.01250941	-0.01137052	-0.008828577	-0.008464698
-0.01389483	-0.01095903	-0.01245901	-0.01144688	-0.008964134	-0.008547855
-0.01403155	-0.01103134	-0.01240437	-0.01151869	-0.009093245	-0.008626557
-0.0141571	-0.01109542	-0.01234596	-0.01158625	-0.009216179	-0.008701094
-0.01427204	-0.0111518	-0.01228427	-0.01164987	-0.009333211	-0.008771756
-0.0143769	-0.01120102	-0.01221979	-0.01170986	-0.009444614	-0.008838831
-0.01447222	-0.01124361	-0.01215299	-0.01176652	-0.00955066	-0.008902609
-0.01455854	-0.01128011	-0.01208436	-0.01182017	-0.009651623	-0.008963382
-0.01463641	-0.01131106	-0.01201438	-0.0118711	-0.009747773	-0.009021436
-0.01470638	-0.01133698	-0.01194353	-0.01191963	-0.009839386	-0.009077062
-0.01476897	-0.01135842	-0.01187231	-0.01196607	-0.009926733	-0.00913055
